0.7       -107.719861489798
0.75      -108.190487355053
0.8       -108.522672152832
0.85      -108.752689592144
0.9       -108.907156169463
0.95      -109.005802013732
1.0       -109.063375013129
1.05      -109.090956507777
1.1       -109.096885140958
1.15      -109.087486621426
1.2       -109.067222527047
1.3       -109.008017827245
1.4       -108.938440822557
1.5       -108.868657641321
1.6       -108.802803906934
1.7       -108.750484902844
1.8       -108.703883691421
1.9       -108.662487342529
2.0       -108.625696459628
2.1       -108.592946689342
2.2       -108.563736367223
2.3       -108.537635143983
2.4       -108.514278627088
2.5       -108.493356131221
2.6       -108.474600160017
2.7       -108.457778257019
2.8       -108.442684775302
2.9       -108.429137933178
3.0       -108.416976107563
3.1       -108.406054814094
3.2       -108.400321329949
3.3       -108.550364250373
3.4       -108.383598649484
3.5       -108.353420461743
3.6       -108.546738950970
3.7       -108.364397230315
3.8       -108.359262494770
3.9       -108.544565558267
4.0       -108.544057038689
